state,population,date
 New South Wales,5234889,1981-06-01
 New South Wales,5249455,1981-09-01
 New South Wales,5266894,1981-12-01
 New South Wales,5286119,1982-03-01
 New South Wales,5303580,1982-06-01
 New South Wales,5315846,1982-09-01
 New South Wales,5328221,1982-12-01
 New South Wales,5344027,1983-03-01
 New South Wales,5352959,1983-06-01
 New South Wales,5363744,1983-09-01
 New South Wales,5374915,1983-12-01
 New South Wales,5389180,1984-03-01
 New South Wales,5402729,1984-06-01
 New South Wales,5416536,1984-09-01
 New South Wales,5431752,1984-12-01
 New South Wales,5451549,1985-03-01
 New South Wales,5464512,1985-06-01
 New South Wales,5478254,1985-09-01
 New South Wales,5496467,1985-12-01
 New South Wales,5516377,1986-03-01
 New South Wales,5531526,1986-06-01
 New South Wales,5549928,1986-09-01
 New South Wales,5574251,1986-12-01
 New South Wales,5596207,1987-03-01
 New South Wales,5616736,1987-06-01
 New South Wales,5639899,1987-09-01
 New South Wales,5666219,1987-12-01
 New South Wales,5689397,1988-03-01
 New South Wales,5707309,1988-06-01
 New South Wales,5730331,1988-09-01
 New South Wales,5752254,1988-12-01
 New South Wales,5769720,1989-03-01
 New South Wales,5776283,1989-06-01
 New South Wales,5785625,1989-09-01
 New South Wales,5803079,1989-12-01
 New South Wales,5818151,1990-03-01
 New South Wales,5834021,1990-06-01
 New South Wales,5849534,1990-09-01
 New South Wales,5862497,1990-12-01
 New South Wales,5883248,1991-03-01
 New South Wales,5898731,1991-06-01
 New South Wales,5916714,1991-09-01
 New South Wales,5928072,1991-12-01
 New South Wales,5946386,1992-03-01
 New South Wales,5957822,1992-06-01
 New South Wales,5970754,1992-09-01
 New South Wales,5977823,1992-12-01
 New South Wales,5990424,1993-03-01
 New South Wales,5995055,1993-06-01
 New South Wales,6009659,1993-09-01
 New South Wales,6020171,1993-12-01
 New South Wales,6037096,1994-03-01
 New South Wales,6044819,1994-06-01
 New South Wales,6063058,1994-09-01
 New South Wales,6071872,1994-12-01
 New South Wales,6087910,1995-03-01
 New South Wales,6105560,1995-06-01
 New South Wales,6124648,1995-09-01
 New South Wales,6143971,1995-12-01
 New South Wales,6159806,1996-03-01
 New South Wales,6176461,1996-06-01
 New South Wales,6196251,1996-09-01
 New South Wales,6214548,1996-12-01
 New South Wales,6234303,1997-03-01
 New South Wales,6246267,1997-06-01
 New South Wales,6260867,1997-09-01
 New South Wales,6274966,1997-12-01
 New South Wales,6295260,1998-03-01
 New South Wales,6305799,1998-06-01
 New South Wales,6324111,1998-09-01
 New South Wales,6338790,1998-12-01
 New South Wales,6360552,1999-03-01
 New South Wales,6375103,1999-06-01
 New South Wales,6393100,1999-09-01
 New South Wales,6409971,1999-12-01
 New South Wales,6431826,2000-03-01
 New South Wales,6446558,2000-06-01
 New South Wales,6465614,2000-09-01
 New South Wales,6485081,2000-12-01
 New South Wales,6513844,2001-03-01
 New South Wales,6530349,2001-06-01
 New South Wales,6544891,2001-09-01
 New South Wales,6558484,2001-12-01
 New South Wales,6575296,2002-03-01
 New South Wales,6580807,2002-06-01
 New South Wales,6590659,2002-09-01
 New South Wales,6599441,2002-12-01
 New South Wales,6615712,2003-03-01
 New South Wales,6620715,2003-06-01
 New South Wales,6627538,2003-09-01
 New South Wales,6634509,2003-12-01
 New South Wales,6648280,2004-03-01
 New South Wales,6650735,2004-06-01
 New South Wales,6660416,2004-09-01
 New South Wales,6669206,2004-12-01
 New South Wales,6685875,2005-03-01
 New South Wales,6693206,2005-06-01
 New South Wales,6707429,2005-09-01
 New South Wales,6718023,2005-12-01
 New South Wales,6735528,2006-03-01
 New South Wales,6742690,2006-06-01
 New South Wales,6766133,2006-09-01
 New South Wales,6786160,2006-12-01
 New South Wales,6815359,2007-03-01
 New South Wales,6834156,2007-06-01
 New South Wales,6859736,2007-09-01
 New South Wales,6883852,2007-12-01
 New South Wales,6919907,2008-03-01
 New South Wales,6943461,2008-06-01
 New South Wales,6972395,2008-09-01
 New South Wales,7001782,2008-12-01
 New South Wales,7032423,2009-03-01
 New South Wales,7053755,2009-06-01
 New South Wales,7079175,2009-09-01
 New South Wales,7101504,2009-12-01
 New South Wales,7128356,2010-03-01
 New South Wales,7144292,2010-06-01
 New South Wales,7162726,2010-09-01
 New South Wales,7179891,2010-12-01
 New South Wales,7204737,2011-03-01
 New South Wales,7218529,2011-06-01
 New South Wales,7239528,2011-09-01
 New South Wales,7258722,2011-12-01
 New South Wales,7284982,2012-03-01
 New South Wales,7304244,2012-06-01
 New South Wales,7327614,2012-09-01
 New South Wales,7353189,2012-12-01
 New South Wales,7382957,2013-03-01
 New South Wales,7404032,2013-06-01
 New South Wales,7430904,2013-09-01
 New South Wales,7454938,2013-12-01
 New South Wales,7487834,2014-03-01
 New South Wales,7508353,2014-06-01
 New South Wales,7536277,2014-09-01
 New South Wales,7562171,2014-12-01
 New South Wales,7595731,2015-03-01
 New South Wales,7616168,2015-06-01
 New South Wales,7645324,2015-09-01
 New South Wales,7671401,2015-12-01
 New South Wales,7707412,2016-03-01
 New South Wales,7732858,2016-06-01
 New South Wales,7770924,2016-09-01
 New South Wales,7801785,2016-12-01
 New South Wales,7842821,2017-03-01
 New South Wales,7867936,2017-06-01
 New South Wales,7904213,2017-09-01
 New South Wales,7922369,2017-12-01
 New South Wales,7957762,2018-03-01
 New South Wales,7988241,2018-06-01
 New South Wales,8023740,2018-09-01
Victoria,3946917,1981-06-01
Victoria,3957333,1981-09-01
Victoria,3968398,1981-12-01
Victoria,3980826,1982-03-01
Victoria,3992870,1982-06-01
Victoria,4002731,1982-09-01
Victoria,4012687,1982-12-01
Victoria,4025254,1983-03-01
Victoria,4035702,1983-06-01
Victoria,4045185,1983-09-01
Victoria,4054498,1983-12-01
Victoria,4066209,1984-03-01
Victoria,4076492,1984-06-01
Victoria,4086549,1984-09-01
Victoria,4097640,1984-12-01
Victoria,4109741,1985-03-01
Victoria,4120068,1985-06-01
Victoria,4129796,1985-09-01
Victoria,4140421,1985-12-01
Victoria,4151053,1986-03-01
Victoria,4160856,1986-06-01
Victoria,4171942,1986-09-01
Victoria,4183842,1986-12-01
Victoria,4197414,1987-03-01
Victoria,4210111,1987-06-01
Victoria,4223707,1987-09-01
Victoria,4234945,1987-12-01
Victoria,4249985,1988-03-01
Victoria,4262569,1988-06-01
Victoria,4280376,1988-09-01
Victoria,4295300,1988-12-01
Victoria,4309978,1989-03-01
Victoria,4320164,1989-06-01
Victoria,4333537,1989-09-01
Victoria,4348225,1989-12-01
Victoria,4364548,1990-03-01
Victoria,4378592,1990-06-01
Victoria,4391183,1990-09-01
Victoria,4400707,1990-12-01
Victoria,4413410,1991-03-01
Victoria,4420373,1991-06-01
Victoria,4429409,1991-09-01
Victoria,4435083,1991-12-01
Victoria,4445141,1992-03-01
Victoria,4450217,1992-06-01
Victoria,4454836,1992-09-01
Victoria,4458219,1992-12-01
Victoria,4463265,1993-03-01
Victoria,4462766,1993-06-01
Victoria,4464794,1993-09-01
Victoria,4466738,1993-12-01
Victoria,4471010,1994-03-01
Victoria,4472989,1994-06-01
Victoria,4479378,1994-09-01
Victoria,4483205,1994-12-01
Victoria,4491289,1995-03-01
Victoria,4497660,1995-06-01
Victoria,4506386,1995-09-01
Victoria,4517353,1995-12-01
Victoria,4527573,1996-03-01
Victoria,4534984,1996-06-01
Victoria,4544480,1996-09-01
Victoria,4552904,1996-12-01
Victoria,4565356,1997-03-01
Victoria,4569297,1997-06-01
Victoria,4578175,1997-09-01
Victoria,4586156,1997-12-01
Victoria,4600872,1998-03-01
Victoria,4606970,1998-06-01
Victoria,4617308,1998-09-01
Victoria,4629345,1998-12-01
Victoria,4645152,1999-03-01
Victoria,4652462,1999-06-01
Victoria,4665626,1999-09-01
Victoria,4677581,1999-12-01
Victoria,4695560,2000-03-01
Victoria,4704065,2000-06-01
Victoria,4718436,2000-09-01
Victoria,4730855,2000-12-01
Victoria,4753725,2001-03-01
Victoria,4763615,2001-06-01
Victoria,4776052,2001-09-01
Victoria,4790212,2001-12-01
Victoria,4808940,2002-03-01
Victoria,4817774,2002-06-01
Victoria,4830383,2002-09-01
Victoria,4845024,2002-12-01
Victoria,4864214,2003-03-01
Victoria,4873809,2003-06-01
Victoria,4887826,2003-09-01
Victoria,4900176,2003-12-01
Victoria,4918070,2004-03-01
Victoria,4927149,2004-06-01
Victoria,4943359,2004-09-01
Victoria,4957147,2004-12-01
Victoria,4978342,2005-03-01
Victoria,4989246,2005-06-01
Victoria,5006241,2005-09-01
Victoria,5023203,2005-12-01
Victoria,5048207,2006-03-01
Victoria,5061266,2006-06-01
Victoria,5083593,2006-09-01
Victoria,5103965,2006-12-01
Victoria,5134074,2007-03-01
Victoria,5153522,2007-06-01
Victoria,5178515,2007-09-01
Victoria,5199503,2007-12-01
Victoria,5233000,2008-03-01
Victoria,5256375,2008-06-01
Victoria,5286549,2008-09-01
Victoria,5313285,2008-12-01
Victoria,5347672,2009-03-01
Victoria,5371934,2009-06-01
Victoria,5398874,2009-09-01
Victoria,5419249,2009-12-01
Victoria,5445172,2010-03-01
Victoria,5461101,2010-06-01
Victoria,5478710,2010-09-01
Victoria,5495711,2010-12-01
Victoria,5520378,2011-03-01
Victoria,5537817,2011-06-01
Victoria,5564662,2011-09-01
Victoria,5591818,2011-12-01
Victoria,5625354,2012-03-01
Victoria,5651091,2012-06-01
Victoria,5680420,2012-09-01
Victoria,5709586,2012-12-01
Victoria,5744915,2013-03-01
Victoria,5772669,2013-06-01
Victoria,5804499,2013-09-01
Victoria,5832585,2013-12-01
Victoria,5869511,2014-03-01
Victoria,5894917,2014-06-01
Victoria,5927199,2014-09-01
Victoria,5957512,2014-12-01
Victoria,5995205,2015-03-01
Victoria,6022322,2015-06-01
Victoria,6057558,2015-09-01
Victoria,6093049,2015-12-01
Victoria,6138627,2016-03-01
Victoria,6173172,2016-06-01
Victoria,6210191,2016-09-01
Victoria,6244863,2016-12-01
Victoria,6292584,2017-03-01
Victoria,6321606,2017-06-01
Victoria,6358025,2017-09-01
Victoria,6386605,2017-12-01
Victoria,6432203,2018-03-01
Victoria,6460675,2018-06-01
Victoria,6497700,2018-09-01
Queensland ,2345208,1981-06-01
Queensland ,2367477,1981-09-01
Queensland ,2387943,1981-12-01
Queensland ,2406355,1982-03-01
Queensland ,2424586,1982-06-01
Queensland ,2442912,1982-09-01
Queensland ,2456475,1982-12-01
Queensland ,2469709,1983-03-01
Queensland ,2482282,1983-06-01
Queensland ,2493373,1983-09-01
Queensland ,2503285,1983-12-01
Queensland ,2513443,1984-03-01
Queensland ,2523859,1984-06-01
Queensland ,2535976,1984-09-01
Queensland ,2547078,1984-12-01
Queensland ,2559452,1985-03-01
Queensland ,2571218,1985-06-01
Queensland ,2583368,1985-09-01
Queensland ,2597100,1985-12-01
Queensland ,2610205,1986-03-01
Queensland ,2624595,1986-06-01
Queensland ,2636477,1986-09-01
Queensland ,2648778,1986-12-01
Queensland ,2662654,1987-03-01
Queensland ,2675107,1987-06-01
Queensland ,2688129,1987-09-01
Queensland ,2703516,1987-12-01
Queensland ,2723992,1988-03-01
Queensland ,2739907,1988-06-01
Queensland ,2760389,1988-09-01
Queensland ,2780869,1988-12-01
Queensland ,2806845,1989-03-01
Queensland ,2827637,1989-06-01
Queensland ,2847045,1989-09-01
Queensland ,2864007,1989-12-01
Queensland ,2884170,1990-03-01
Queensland ,2899283,1990-06-01
Queensland ,2913538,1990-09-01
Queensland ,2928713,1990-12-01
Queensland ,2947512,1991-03-01
Queensland ,2960951,1991-06-01
Queensland ,2975984,1991-09-01
Queensland ,2990441,1991-12-01
Queensland ,3010322,1992-03-01
Queensland ,3023198,1992-06-01
Queensland ,3041149,1992-09-01
Queensland ,3057138,1992-12-01
Queensland ,3081331,1993-03-01
Queensland ,3096185,1993-06-01
Queensland ,3115843,1993-09-01
Queensland ,3130986,1993-12-01
Queensland ,3151365,1994-03-01
Queensland ,3166566,1994-06-01
Queensland ,3184148,1994-09-01
Queensland ,3198877,1994-12-01
Queensland ,3218314,1995-03-01
Queensland ,3237380,1995-06-01
Queensland ,3255117,1995-09-01
Queensland ,3271743,1995-12-01
Queensland ,3289507,1996-03-01
Queensland ,3303192,1996-06-01
Queensland ,3318599,1996-09-01
Queensland ,3330579,1996-12-01
Queensland ,3343777,1997-03-01
Queensland ,3355417,1997-06-01
Queensland ,3369184,1997-09-01
Queensland ,3380394,1997-12-01
Queensland ,3393483,1998-03-01
